fecha,volumen,variedad,zona,volumen_log,region,precio_promedio_kg,indice_precio_diesel,lluvia_hoy,dias_con_helada_en_cultivo,T2M,T2M_MIN,T2M_MAX
2026-02-03,18.0,Papa Blanca,pasco,2.9444389791664403,pasco,0.94,88.4916,12.51,0.0,6.31,2.17,11.14
2026-02-03,10.0,Papa Blanca,daniel alcides carrion,2.3978952727983707,pasco,0.94,88.4916,12.67,0.0,6.31,2.17,11.14
2026-02-03,60.0,Papa Blanca,lima,4.110873864173311,lima,0.94,88.4916,0.45,0.0,19.4,16.94,23.19
2026-02-03,19.0,Papa Blanca,huaura,2.995732273553991,lima,0.94,88.4916,3.34,0.0,22.01,18.74,26.2
2026-02-03,38.0,Papa Unica,huaral,3.6635616461296463,lima,1.48,88.4916,1.43,0.0,22.07,20.73,23.36
2026-02-03,41.0,Papa Color,huaral,3.737669618283368,lima,1.49,88.4916,1.43,0.0,22.07,20.73,23.36
2026-02-03,93.0,Papa Blanca,huaral,4.543294782270004,lima,0.94,88.4916,1.43,0.0,22.07,20.73,23.36
2026-02-03,67.0,Papa Blanca,barranca,4.219507705176107,lima,0.94,88.4916,17.19,0.0,16.59,13.58,21.52
2026-02-03,13.0,Papa Blanca,sanchez carrion,2.639057329615259,la libertad,0.94,88.4916,6.01,0.0,9.85,4.85,16.66
2026-02-03,12.0,Papa Color,tarma,2.5649493574615367,junin,1.49,88.4916,1.12,0.0,9.03,5.58,14.09
2026-02-03,458.0,Papa Blanca,tarma,6.129050210060545,junin,0.94,88.4916,1.12,0.0,9.03,5.58,14.09
2026-02-03,16.0,Papa Blanca,jauja,2.833213344056216,junin,0.94,88.4916,4.86,0.0,5.94,2.19,11.94
2026-02-03,30.0,Papa Unica,huancayo,3.4339872044851463,junin,1.48,88.4916,0.64,0.0,8.91,4.63,14.01
2026-02-03,14.0,Papa Color,huancayo,2.70805020110221,junin,1.49,88.4916,0.64,0.0,8.91,4.63,14.01
2026-02-03,329.0,Papa Blanca,huancayo,5.799092654460526,junin,0.94,88.4916,0.64,0.0,8.91,4.63,14.01
2026-02-03,1.0,Papa Amarilla,huancayo,0.6931471805599453,junin,2.88,88.4916,0.64,0.0,8.91,4.63,14.01
2026-02-03,1113.0,Papa Blanca,huanuco,7.01571242048723,huanuco,0.94,88.4916,18.94,0.0,9.66,5.76,13.94
2026-02-03,3.0,Papa Blanca,ambo,1.3862943611198906,huanuco,0.94,88.4916,12.78,0.0,9.66,5.76,13.94
2026-02-03,90.0,Papa Amarilla,ambo,4.51085950651685,huanuco,2.88,88.4916,12.78,0.0,9.66,5.76,13.94
2026-02-03,49.0,Papa Blanca,tayacaja,3.912023005428146,huancavelica,0.94,88.4916,2.04,0.0,7.27,2.85,13.75
2026-02-03,32.0,Papa Blanca,huancavelica,3.49650756146648,huancavelica,0.94,88.4916,0.62,4.0,4.89,0.32,12.67
