volumen,volumen_log,precio_promedio_kg,indice_precio_diesel,lluvia_hoy,dias_con_helada_en_cultivo,T2M_MIN,T2M_MAX,zona_acobamba,zona_ambo,zona_andahuaylas,zona_angaraes,zona_antabamba,zona_arequipa,zona_barranca,zona_cajatambo,zona_canete,zona_cangallo,zona_canta,zona_caraveli,zona_caylloma,zona_chanchamayo,zona_chincha,zona_churcampa,zona_concepcion,zona_daniel alcides carrion,zona_huamalies,zona_huamanga,zona_huanca sancos,zona_huancavelica,zona_huancayo,zona_huanta,zona_huanuco,zona_huaral,zona_huarochiri,zona_huaura,zona_huaycabamba,zona_huaytara,zona_ica,zona_jauja,zona_julcan,zona_junin,zona_la mar,zona_lima,zona_lucanas,zona_nazca,zona_oxapampa,zona_oyon,zona_pachitea,zona_palpa,zona_parinacochas,zona_pasco,zona_pisco,zona_sanchez carrion,zona_santiago de chuco,zona_tarma,zona_tayacaja,zona_yauli,zona_yauyos,fecha_sin,fecha_cos
18.0,2.9444389791664403,0.94,88.4916,12.51,0.0,2.17,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
10.0,2.3978952727983707,0.94,88.4916,12.67,0.0,2.17,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
60.0,4.110873864173311,0.94,88.4916,0.45,0.0,16.94,23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
19.0,2.995732273553991,0.94,88.4916,3.34,0.0,18.74,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
93.0,4.543294782270004,0.94,88.4916,1.43,0.0,20.73,23.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
67.0,4.219507705176107,0.94,88.4916,17.19,0.0,13.58,21.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
13.0,2.639057329615259,0.94,88.4916,6.01,0.0,4.85,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5524353131676196,0.8335557718385699
458.0,6.129050210060545,0.94,88.4916,1.12,0.0,5.58,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5524353131676196,0.8335557718385699
16.0,2.833213344056216,0.94,88.4916,4.86,0.0,2.19,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
329.0,5.799092654460526,0.94,88.4916,0.64,0.0,4.63,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
1113.0,7.01571242048723,0.94,88.4916,18.94,0.0,5.76,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5524353131676196,0.8335557718385699
