"","PN01441PM"
"","Índices reales de precios de combustibles y de tarifas de servicios públicos (2010 = 100) - Precios de Combustibles - Petróleo Diesel"
Ene10,96.6632673875732
Feb10,95.4998455168493
Mar10,95.421374573204
Abr10,96.9084268183194
May10,101.766808009238
Jun10,101.418173284618
Jul10,100.582135451973
Ago10,100.312780248722
Sep10,100.251467758363
Oct10,101.142256253795
Nov10,105.063621928931
Dic10,104.969842768415
Ene11,109.864097080085
Feb11,109.631007034628
Mar11,108.498153819291
Abr11,107.672968993373
May11,107.607075061711
Jun11,111.153868615832
Jul11,112.001105333824
Ago11,112.427179680277
Sep11,115.65569817527
Oct11,115.921241314893
Nov11,120.698238783112
Dic11,120.282975642271
Ene12,116.567007690772
Feb12,116.901225078176
Mar12,120.868478726442
Abr12,120.229411124742
May12,120.972321640044
Jun12,121.016729098957
Jul12,115.379778083361
Ago12,114.534260858946
Sep12,117.128602159692
Oct12,117.320213394859
Nov12,117.307537945769
Dic12,116.917895653959
Ene13,112.18466400188
Feb13,111.851514959304
Mar13,116.093740365419
Abr13,115.543945788178
May13,110.094429015336
Jun13,109.550598269419
Jul13,112.862404715891
Ago13,112.252977644246
Sep13,117.788212772539
Oct13,117.743149766828
Nov13,115.293852750047
Dic13,114.680750496369
Ene14,114.907807003139
Feb14,114.388877450402
Mar14,115.546952619598
Abr14,114.845613100607
May14,113.843142136531
Jun14,113.414407391986
Jul14,111.691384242506
Ago14,111.457826148541
Sep14,109.388952804604
Oct14,108.239209682204
Nov14,103.645348523702
Dic14,97.9273416310978
Ene15,87.5519139192257
Feb15,80.8544922985458
Mar15,79.3520465619744
Abr15,78.8019122958437
May15,78.1195439214428
Jun15,77.6214541849608
Jul15,77.1937001020531
Ago15,76.9035996361703
Sep15,76.4869418765268
Oct15,75.9039685901971
Nov15,75.1714188330302
Dic15,74.5243934789537
Ene16,68.470373642077
Feb16,66.4029368915379
Mar16,65.5432843290099
Abr16,65.3808779565829
May16,68.1816826914273
Jun16,68.0866959436503
Jul16,72.0419853719327
Ago16,71.9385053770178
Sep16,72.3271773694858
Oct16,72.1058237092236
Nov16,75.400744489221
Dic16,75.6050502146184
Ene17,79.2120840177376
Feb17,79.0324024881182
Mar17,77.8656307781353
Abr17,78.0670856084097
May17,78.3239553199138
Jun17,78.2985597718184
Jul17,76.4187530673652
Ago17,75.3870250765282
Sep17,76.740002896464
Oct17,76.9520871724522
Nov17,80.7043598675644
Dic17,80.727745003413
Ene18,84.3645796419012
Feb18,84.3778228961041
Mar18,83.8203045408196
Abr18,83.7123227159591
May18,87.4877650201399
Jun18,88.3818167210945
Jul18,89.7422204570937
Ago18,89.7715333042137
Sep18,89.7469130762585
Oct18,90.5557005051898
Nov18,94.702922350177
Dic18,95.9234046472742
Ene19,95.4946162683501
Feb19,94.5691862484382
Mar19,90.981672825205
Abr19,90.2927371296629
May19,91.0279602517739
Jun19,91.6859335726289
Jul19,90.92168243317
Ago19,90.57735168433
Sep19,90.4993443694939
Oct19,90.1828106654125
Nov19,89.9405636912958
Dic19,90.3233430818653
Ene20,91.424765018732
Feb20,91.4385146527939
Mar20,89.9958680625071
Abr20,89.3319455289918
May20,86.0929670295534
Jun20,81.6180478386147
Jul20,78.3330422887946
Ago20,78.5615554198386
Sep20,78.9511274564252
Oct20,77.9449558172536
Nov20,76.835805869741
Dic20,79.5487351188692
Ene21,83.7222522046615
Feb21,88.0326397732375
Mar21,94.0418865977335
Abr21,93.9317067993485
May21,94.3065370096253
Jun21,97.339787162374
Jul21,99.8545125849549
Ago21,103.753570884526
Sep21,104.485747874541
Oct21,107.967598471209
Nov21,109.184971673527
Dic21,108.005567007296
Ene22,107.236730098133
Feb22,109.082786464172
Mar22,112.173843336445
Abr22,102.08267225824
May22,105.415725181052
Jun22,110.075695887734
Jul22,108.923951726224
Ago22,108.265171598049
Sep22,114.348358088317
Oct22,121.813107417561
Nov22,121.924739465106
Dic22,120.842187825435
Ene23,117.521408772163
Feb23,116.325432961095
Mar23,111.94419891072
Abr23,106.788385374145
May23,99.1312108884355
Jun23,94.0386510730891
Jul23,92.781908789362
Ago23,95.3320437636783
Sep23,99.3372008244923
Oct23,103.751666167653
Nov23,107.961507452648
Dic23,104.98056907094
Ene24,101.17378364191
Feb24,98.5535286379341
Mar24,101.121932436753
Abr24,101.290770920621
May24,101.091069864142
Jun24,98.4046155513214
Jul24,98.230866514966
Ago24,98.8797973557697
Sep24,97.3142167924065
Oct24,94.5554472911109
Nov24,93.5950419918216
Dic24,94.7150056448589
Ene25,94.5130224482488
Feb25,97.2347276067012
Mar25,95.1304483117144
Abr25,92.4781755423006
May25,90.9815652553457
Jun25,90.1198488200302
Jul25,91.6265136848664
Ago25,91.8932815046631
Sep25,90.9085948712601
Oct25,90.2533595349131
Nov25,89.6949810773589
Dic25,89.8761428489982
Ene26,89.1624787035024
Feb26,88.4915591578165
Mar26,114.97029817988
Abr26,131.186590501465
May26,129.852666701919
