fecha,volumen,variedad,zona,volumen_log,region,precio_promedio_kg,indice_precio_diesel
2026-04-30,11.0,Papa Yungay,Jauja,2.4849066497880004,Junin,1.53,131.1866
2026-04-30,12.0,Papa Yungay,Huancayo,2.5649493574615367,Junin,1.53,131.1866
2026-04-30,26.0,Papa Yungay,Huamanga,3.295836866004329,Ayacucho,1.53,131.1866
2026-04-30,54.0,Papa Unica,Arequipa,4.007333185232471,Arequipa,2.13,131.1866
2026-04-30,103.0,Papa Blanca,Pasco,4.6443908991413725,Pasco,1.53,131.1866
2026-04-30,6.0,Papa Blanca,Lima,1.9459101490553128,Lima,1.53,131.1866
2026-04-30,16.0,Papa Blanca,Huaral,2.833213344056216,Lima,1.53,131.1866
2026-04-30,516.0,Papa Blanca,Tarma,6.248042874508429,Junin,1.53,131.1866
2026-04-30,22.0,Papa Blanca,Junin,3.1354942159291497,Junin,1.53,131.1866
2026-04-30,113.0,Papa Blanca,Jauja,4.736198448394496,Junin,1.53,131.1866
2026-04-30,547.0,Papa Blanca,Huancayo,6.306275286948016,Junin,1.53,131.1866
2026-04-30,454.0,Papa Blanca,Huanuco,6.12029741895095,Huanuco,1.53,131.1866
2026-04-30,35.0,Papa Blanca,Ambo,3.58351893845611,Huanuco,1.53,131.1866
2026-04-30,27.0,Papa Blanca,Huancavelica,3.332204510175204,Huancavelica,1.53,131.1866
2026-04-30,26.0,Papa Blanca,Huanta,3.295836866004329,Ayacucho,1.53,131.1866
2026-04-30,347.0,Papa Blanca,Huamanga,5.8522024797744745,Ayacucho,1.53,131.1866
2026-04-30,453.0,Papa Blanca,Arequipa,6.118097198041348,Arequipa,1.53,131.1866
2026-04-30,115.0,Papa Blanca,Andahuaylas,4.7535901911063645,Apurimac,1.53,131.1866
2026-04-30,28.0,Papa Amarilla,Ambo,3.367295829986474,Huanuco,2.15,131.1866
2026-04-29,161.0,Papa Unica,Arequipa,5.087596335232384,Arequipa,2.15,131.1866
2026-04-29,1.0,Papa Color,Lima,0.6931471805599453,Lima,1.78,131.1866
2026-04-29,11.0,Papa Canchan,Pasco,2.4849066497880004,Pasco,1.4,131.1866
2026-04-29,1.0,Papa Canchan,Lima,0.6931471805599453,Lima,1.4,131.1866
2026-04-29,10.0,Papa Canchan,Junin,2.3978952727983707,Junin,1.4,131.1866
2026-04-29,37.0,Papa Canchan,Jauja,3.6375861597263857,Junin,1.4,131.1866
2026-04-29,41.0,Papa Canchan,Huancayo,3.737669618283368,Junin,1.4,131.1866
2026-04-29,74.0,Papa Canchan,Huanuco,4.31748811353631,Huanuco,1.4,131.1866
2026-04-29,63.0,Papa Canchan,Huamanga,4.158883083359672,Ayacucho,1.4,131.1866
2026-04-29,33.0,Papa Blanca,Daniel Alcides Carrion,3.5263605246161616,Pasco,1.63,131.1866
2026-04-29,23.0,Papa Blanca,Lima,3.1780538303479458,Lima,1.63,131.1866
2026-04-29,227.0,Papa Blanca,Tarma,5.429345628954441,Junin,1.63,131.1866
2026-04-29,24.0,Papa Blanca,Jauja,3.218875824868201,Junin,1.63,131.1866
2026-04-29,267.0,Papa Blanca,Huancayo,5.5909869805108565,Junin,1.63,131.1866
2026-04-29,264.0,Papa Blanca,Huanuco,5.579729825986222,Huanuco,1.63,131.1866
2026-04-29,338.0,Papa Blanca,Huamanga,5.82600010738045,Ayacucho,1.63,131.1866
2026-04-29,356.0,Papa Blanca,Arequipa,5.877735781779639,Arequipa,1.63,131.1866
2026-04-29,19.0,Papa Blanca,Andahuaylas,2.995732273553991,Apurimac,1.63,131.1866
2026-04-29,1.0,Papa Amarilla,Huancayo,0.6931471805599453,Junin,2.15,131.1866
2026-04-29,9.0,Papa Amarilla,Ambo,2.302585092994046,Huanuco,2.15,131.1866
2026-04-29,39.0,Papa Amarilla,Huanta,3.688879454113936,Ayacucho,2.15,131.1866
2026-04-28,18.0,Papa Yungay,Andahuaylas,2.9444389791664403,Apurimac,1.63,131.1866
2026-04-28,29.0,Papa Unica,Huamanga,3.4011973816621555,Ayacucho,2.1,131.1866
2026-04-28,103.0,Papa Unica,Arequipa,4.6443908991413725,Arequipa,2.1,131.1866
2026-04-28,12.0,Papa Canchan,Pasco,2.5649493574615367,Pasco,1.5,131.1866
2026-04-28,11.0,Papa Canchan,Lima,2.4849066497880004,Lima,1.5,131.1866
2026-04-28,27.0,Papa Canchan,Huancayo,3.332204510175204,Junin,1.5,131.1866
2026-04-28,89.0,Papa Canchan,Huanuco,4.499809670330265,Huanuco,1.5,131.1866
2026-04-28,16.0,Papa Canchan,Tayacaja,2.833213344056216,Huancavelica,1.5,131.1866
2026-04-28,92.0,Papa Blanca,Pasco,4.532599493153256,Pasco,1.63,131.1866
2026-04-28,8.0,Papa Blanca,Lima,2.19722457733622,Lima,1.63,131.1866
2026-04-28,3.0,Papa Blanca,Canta,1.3862943611198906,Lima,1.63,131.1866
2026-04-28,18.0,Papa Blanca,Sanchez Carrion,2.9444389791664403,La libertad,1.63,131.1866
2026-04-28,455.0,Papa Blanca,Tarma,6.1224928095143865,Junin,1.63,131.1866
2026-04-28,68.0,Papa Blanca,Jauja,4.23410650459726,Junin,1.63,131.1866
2026-04-28,376.0,Papa Blanca,Huancayo,5.932245187448011,Junin,1.63,131.1866
2026-04-28,514.0,Papa Blanca,Huanuco,6.244166900663736,Huanuco,1.63,131.1866
2026-04-28,154.0,Papa Blanca,Tayacaja,5.043425116919247,Huancavelica,1.63,131.1866
2026-04-28,31.0,Papa Blanca,Huancavelica,3.4657359027997265,Huancavelica,1.63,131.1866
2026-04-28,203.0,Papa Blanca,Huanta,5.318119993844216,Ayacucho,1.63,131.1866
2026-04-28,584.0,Papa Blanca,Huamanga,6.371611847231857,Ayacucho,1.63,131.1866
2026-04-28,35.0,Papa Blanca,Cangallo,3.58351893845611,Ayacucho,1.63,131.1866
2026-04-28,255.0,Papa Blanca,Arequipa,5.545177444479562,Arequipa,1.63,131.1866
2026-04-28,38.0,Papa Blanca,Andahuaylas,3.6635616461296463,Apurimac,1.63,131.1866
2026-04-28,73.0,Papa Amarilla,Ambo,4.304065093204169,Huanuco,2.38,131.1866
2026-04-27,1.0,Papa Yungay,Lima,0.6931471805599453,Lima,1.8,131.1866
2026-04-27,15.0,Papa Yungay,Huanuco,2.772588722239781,Huanuco,1.8,131.1866
2026-04-27,14.0,Papa Yungay,Arequipa,2.70805020110221,Arequipa,1.8,131.1866
2026-04-27,18.0,Papa Unica,Huamanga,2.9444389791664403,Ayacucho,2.1,131.1866
2026-04-27,151.0,Papa Unica,Arequipa,5.0238805208462765,Arequipa,2.1,131.1866
2026-04-27,5.0,Papa Color,Jauja,1.791759469228055,Junin,1.81,131.1866
2026-04-27,42.0,Papa Color,Huamanga,3.7612001156935615,Ayacucho,1.81,131.1866
2026-04-27,58.0,Papa Color,Arequipa,4.07753744390572,Arequipa,1.81,131.1866
2026-04-27,12.0,Papa Blanca,Pasco,2.5649493574615367,Pasco,1.8,131.1866
2026-04-27,2.0,Papa Blanca,Lima,1.0986122886681096,Lima,1.8,131.1866
2026-04-27,37.0,Papa Blanca,Tarma,3.6375861597263857,Junin,1.8,131.1866
2026-04-27,34.0,Papa Blanca,Jauja,3.555348061489413,Junin,1.8,131.1866
2026-04-27,81.0,Papa Blanca,Huancayo,4.406719247264253,Junin,1.8,131.1866
2026-04-27,135.0,Papa Blanca,Huanuco,4.912654885736052,Huanuco,1.8,131.1866
2026-04-27,11.0,Papa Blanca,Churcampa,2.4849066497880004,Huancavelica,1.8,131.1866
2026-04-27,145.0,Papa Blanca,Huamanga,4.983606621708336,Ayacucho,1.8,131.1866
2026-04-26,120.0,Papa Unica,Arequipa,4.795790545596741,Arequipa,2.1,131.1866
2026-04-26,17.0,Papa Color,Tarma,2.8903717578961645,Junin,1.79,131.1866
2026-04-26,24.0,Papa Color,Jauja,3.218875824868201,Junin,1.79,131.1866
2026-04-26,46.0,Papa Color,Huanuco,3.8501476017100575,Huanuco,1.79,131.1866
2026-04-26,14.0,Papa Color,Tayacaja,2.70805020110221,Huancavelica,1.79,131.1866
2026-04-26,103.0,Papa Color,Huamanga,4.6443908991413725,Ayacucho,1.79,131.1866
2026-04-26,60.0,Papa Color,Arequipa,4.110873864173311,Arequipa,1.79,131.1866
2026-04-26,67.0,Papa Canchan,Huamanga,4.219507705176107,Ayacucho,1.48,131.1866
2026-04-26,10.0,Papa Blanca,Lima,2.3978952727983707,Lima,1.71,131.1866
2026-04-26,181.0,Papa Blanca,Tarma,5.204006687076795,Junin,1.71,131.1866
2026-04-26,121.0,Papa Blanca,Jauja,4.804021044733257,Junin,1.71,131.1866
2026-04-26,298.0,Papa Blanca,Huancayo,5.700443573390686,Junin,1.71,131.1866
2026-04-26,189.0,Papa Blanca,Huanuco,5.247024072160486,Huanuco,1.71,131.1866
2026-04-26,38.0,Papa Blanca,Tayacaja,3.6635616461296463,Huancavelica,1.71,131.1866
2026-04-26,284.0,Papa Blanca,Huamanga,5.652489180268651,Ayacucho,1.71,131.1866
2026-04-26,155.0,Papa Blanca,Arequipa,5.049856007249537,Arequipa,1.71,131.1866
2026-04-26,21.0,Papa Blanca,Andahuaylas,3.091042453358316,Apurimac,1.71,131.1866
2026-04-26,60.0,Papa Amarilla,Ambo,4.110873864173311,Huanuco,2.1,131.1866
2026-04-26,21.0,Papa Amarilla,Huamanga,3.091042453358316,Ayacucho,2.1,131.1866
2026-04-25,11.0,Papa Yungay,Tarma,2.4849066497880004,Junin,1.71,131.1866
2026-04-25,57.0,Papa Unica,Arequipa,4.060443010546419,Arequipa,2.1,131.1866
2026-04-25,7.0,Papa Color,Lima,2.079441541679836,Lima,1.79,131.1866
2026-04-25,38.0,Papa Color,Huancayo,3.6635616461296463,Junin,1.79,131.1866
2026-04-25,34.0,Papa Canchan,Huamanga,3.555348061489413,Ayacucho,1.48,131.1866
2026-04-25,36.0,Papa Blanca,Pasco,3.610917912644224,Pasco,1.71,131.1866
2026-04-25,19.0,Papa Blanca,Lima,2.995732273553991,Lima,1.71,131.1866
2026-04-25,294.0,Papa Blanca,Tarma,5.68697535633982,Junin,1.71,131.1866
2026-04-25,1.0,Papa Blanca,Junin,0.6931471805599453,Junin,1.71,131.1866
2026-04-25,85.0,Papa Blanca,Jauja,4.454347296253507,Junin,1.71,131.1866
2026-04-25,215.0,Papa Blanca,Huancayo,5.375278407684165,Junin,1.71,131.1866
2026-04-25,161.0,Papa Blanca,Huanuco,5.087596335232384,Huanuco,1.71,131.1866
2026-04-25,83.0,Papa Blanca,Huancavelica,4.430816798843313,Huancavelica,1.71,131.1866
2026-04-25,276.0,Papa Blanca,Huamanga,5.6240175061873385,Ayacucho,1.71,131.1866
2026-04-25,126.0,Papa Blanca,Arequipa,4.844187086458591,Arequipa,1.71,131.1866
2026-04-25,92.0,Papa Blanca,Andahuaylas,4.532599493153256,Apurimac,1.71,131.1866
2026-04-25,9.0,Papa Amarilla,Tarma,2.302585092994046,Junin,2.1,131.1866
2026-04-25,37.0,Papa Amarilla,Ambo,3.6375861597263857,Huanuco,2.1,131.1866
2026-04-25,32.0,Papa Amarilla,Huamanga,3.49650756146648,Ayacucho,2.1,131.1866
2026-04-24,20.0,Papa Yungay,Tayacaja,3.044522437723423,Huancavelica,1.73,131.1866
2026-04-24,18.0,Papa Yungay,Huamanga,2.9444389791664403,Ayacucho,1.73,131.1866
2026-04-24,31.0,Papa Unica,Arequipa,3.4657359027997265,Arequipa,2.08,131.1866
2026-04-24,15.0,Papa Peruanita,Huamanga,2.772588722239781,Ayacucho,1.93,131.1866
2026-04-24,12.0,Papa Color,Santiago De Chuco,2.5649493574615367,La libertad,1.79,131.1866
2026-04-24,15.0,Papa Blanca,Pasco,2.772588722239781,Pasco,1.73,131.1866
2026-04-24,45.0,Papa Blanca,Lima,3.828641396489095,Lima,1.73,131.1866
2026-04-24,23.0,Papa Blanca,Canta,3.1780538303479458,Lima,1.73,131.1866
2026-04-24,1.0,Papa Blanca,Barranca,0.6931471805599453,Lima,1.73,131.1866
2026-04-24,224.0,Papa Blanca,Tarma,5.41610040220442,Junin,1.73,131.1866
2026-04-24,19.0,Papa Blanca,Junin,2.995732273553991,Junin,1.73,131.1866
2026-04-24,135.0,Papa Blanca,Jauja,4.912654885736052,Junin,1.73,131.1866
