Fecha,precio_promedio_kg,variedad
2022-01-01,1.9,Papa Amarilla
2022-01-01,1.08,Papa Blanca
2022-01-01,1.03,Papa Canchan
2022-01-01,1.07,Papa Color
2022-01-01,1.38,Papa Huamantanga
2022-01-01,1.53,Papa Huayro
2022-01-01,1.36,Papa Negra Andina
2022-01-01,1.4,Papa Peruanita
2022-01-01,1.11,Papa Unica
2022-01-01,1.08,Papa Yungay
2022-01-02,1.9,Papa Amarilla
2022-01-02,1.08,Papa Blanca
2022-01-02,1.03,Papa Canchan
2022-01-02,1.07,Papa Color
2022-01-02,1.38,Papa Huamantanga
2022-01-02,1.53,Papa Huayro
2022-01-02,1.36,Papa Negra Andina
2022-01-02,1.4,Papa Peruanita
2022-01-02,1.11,Papa Unica
2022-01-02,1.08,Papa Yungay
2022-01-03,1.93,Papa Amarilla
2022-01-03,1.1,Papa Blanca
2022-01-03,1.03,Papa Canchan
2022-01-03,1.08,Papa Color
2022-01-03,1.38,Papa Huamantanga
2022-01-03,1.5,Papa Huayro
2022-01-03,1.3,Papa Negra Andina
2022-01-03,1.38,Papa Peruanita
2022-01-03,1.14,Papa Unica
2022-01-03,1.1,Papa Yungay
2022-01-04,1.98,Papa Amarilla
2022-01-04,1.14,Papa Blanca
2022-01-04,1.04,Papa Canchan
2022-01-04,1.09,Papa Color
2022-01-04,1.43,Papa Huamantanga
2022-01-04,1.53,Papa Huayro
2022-01-04,1.28,Papa Negra Andina
2022-01-04,1.43,Papa Peruanita
2022-01-04,1.14,Papa Unica
2022-01-04,1.13,Papa Yungay
2022-01-05,2.0,Papa Amarilla
2022-01-05,1.09,Papa Blanca
2022-01-05,1.01,Papa Canchan
2022-01-05,1.07,Papa Color
2022-01-05,1.4,Papa Huamantanga
2022-01-05,1.5,Papa Huayro
2022-01-05,1.29,Papa Negra Andina
2022-01-05,1.48,Papa Peruanita
2022-01-05,1.13,Papa Unica
2022-01-05,1.09,Papa Yungay
2022-01-06,2.03,Papa Amarilla
2022-01-06,1.06,Papa Blanca
2022-01-06,1.0,Papa Canchan
2022-01-06,1.06,Papa Color
2022-01-06,1.43,Papa Huamantanga
2022-01-06,1.53,Papa Huayro
2022-01-06,1.28,Papa Negra Andina
2022-01-06,1.5,Papa Peruanita
2022-01-06,1.11,Papa Unica
2022-01-06,1.06,Papa Yungay
2022-01-07,2.13,Papa Amarilla
2022-01-07,1.1,Papa Blanca
2022-01-07,1.09,Papa Canchan
2022-01-07,1.13,Papa Color
2022-01-07,1.33,Papa Huamantanga
2022-01-07,1.53,Papa Huayro
2022-01-07,1.25,Papa Negra Andina
2022-01-07,1.51,Papa Peruanita
2022-01-07,1.16,Papa Unica
2022-01-07,1.1,Papa Yungay
2022-01-08,2.13,Papa Amarilla
2022-01-08,1.11,Papa Blanca
2022-01-08,1.1,Papa Canchan
2022-01-08,1.13,Papa Color
2022-01-08,1.3,Papa Huamantanga
2022-01-08,1.5,Papa Huayro
2022-01-08,1.24,Papa Negra Andina
2022-01-08,1.51,Papa Peruanita
2022-01-08,1.16,Papa Unica
2022-01-08,1.11,Papa Yungay
2022-01-09,2.13,Papa Amarilla
2022-01-09,1.11,Papa Blanca
2022-01-09,1.1,Papa Canchan
2022-01-09,1.13,Papa Color
2022-01-09,1.3,Papa Huamantanga
2022-01-09,1.5,Papa Huayro
2022-01-09,1.24,Papa Negra Andina
2022-01-09,1.51,Papa Peruanita
2022-01-09,1.16,Papa Unica
2022-01-09,1.11,Papa Yungay
2022-01-10,2.15,Papa Amarilla
2022-01-10,1.13,Papa Blanca
2022-01-10,1.1,Papa Canchan
2022-01-10,1.14,Papa Color
2022-01-10,1.31,Papa Huamantanga
2022-01-10,1.5,Papa Huayro
2022-01-10,1.25,Papa Negra Andina
2022-01-10,1.53,Papa Peruanita
2022-01-10,1.18,Papa Unica
2022-01-10,1.13,Papa Yungay
2022-01-11,2.15,Papa Amarilla
2022-01-11,1.1,Papa Blanca
2022-01-11,1.09,Papa Canchan
2022-01-11,1.14,Papa Color
2022-01-11,1.3,Papa Huamantanga
2022-01-11,1.48,Papa Huayro
2022-01-11,1.24,Papa Negra Andina
2022-01-11,1.48,Papa Peruanita
2022-01-11,1.18,Papa Unica
2022-01-11,1.1,Papa Yungay
2022-01-12,2.15,Papa Amarilla
2022-01-12,1.13,Papa Blanca
2022-01-12,1.13,Papa Canchan
2022-01-12,1.15,Papa Color
2022-01-12,1.3,Papa Huamantanga
2022-01-12,1.49,Papa Huayro
2022-01-12,1.25,Papa Negra Andina
2022-01-12,1.53,Papa Peruanita
2022-01-12,1.18,Papa Unica
2022-01-12,1.13,Papa Yungay
2022-01-13,2.08,Papa Amarilla
2022-01-13,1.11,Papa Blanca
2022-01-13,1.1,Papa Canchan
2022-01-13,1.13,Papa Color
