fecha,indice_precio_diesel
2010-01-01,96.6633
2010-02-01,95.4998
2010-03-01,95.4214
2010-04-01,96.9084
2010-05-01,101.7668
2010-06-01,101.4182
2010-07-01,100.5821
2010-08-01,100.3128
2010-09-01,100.2515
2010-10-01,101.1423
2010-11-01,105.0636
2010-12-01,104.9698
2011-01-01,109.8641
2011-02-01,109.631
2011-03-01,108.4982
2011-04-01,107.673
2011-05-01,107.6071
2011-06-01,111.1539
2011-07-01,112.0011
2011-08-01,112.4272
2011-09-01,115.6557
2011-10-01,115.9212
2011-11-01,120.6982
2011-12-01,120.283
2012-01-01,116.567
2012-02-01,116.9012
2012-03-01,120.8685
2012-04-01,120.2294
2012-05-01,120.9723
2012-06-01,121.0167
2012-07-01,115.3798
2012-08-01,114.5343
2012-09-01,117.1286
2012-10-01,117.3202
2012-11-01,117.3075
2012-12-01,116.9179
2013-01-01,112.1847
2013-02-01,111.8515
2013-03-01,116.0937
2013-04-01,115.5439
2013-05-01,110.0944
2013-06-01,109.5506
2013-07-01,112.8624
2013-08-01,112.253
2013-09-01,117.7882
2013-10-01,117.7431
2013-11-01,115.2939
2013-12-01,114.6808
2014-01-01,114.9078
2014-02-01,114.3889
2014-03-01,115.547
2014-04-01,114.8456
2014-05-01,113.8431
2014-06-01,113.4144
2014-07-01,111.6914
2014-08-01,111.4578
2014-09-01,109.389
2014-10-01,108.2392
2014-11-01,103.6453
2014-12-01,97.9273
2015-01-01,87.5519
2015-02-01,80.8545
2015-03-01,79.352
2015-04-01,78.8019
2015-05-01,78.1195
2015-06-01,77.6215
2015-07-01,77.1937
2015-08-01,76.9036
2015-09-01,76.4869
2015-10-01,75.904
2015-11-01,75.1714
2015-12-01,74.5244
2016-01-01,68.4704
2016-02-01,66.4029
2016-03-01,65.5433
2016-04-01,65.3809
2016-05-01,68.1817
2016-06-01,68.0867
2016-07-01,72.042
2016-08-01,71.9385
2016-09-01,72.3272
2016-10-01,72.1058
2016-11-01,75.4007
2016-12-01,75.6051
2017-01-01,79.2121
2017-02-01,79.0324
2017-03-01,77.8656
2017-04-01,78.0671
2017-05-01,78.324
2017-06-01,78.2986
2017-07-01,76.4188
2017-08-01,75.387
2017-09-01,76.74
2017-10-01,76.9521
2017-11-01,80.7044
2017-12-01,80.7277
2018-01-01,84.3646
2018-02-01,84.3778
2018-03-01,83.8203
2018-04-01,83.7123
2018-05-01,87.4878
2018-06-01,88.3818
2018-07-01,89.7422
2018-08-01,89.7715
2018-09-01,89.7469
2018-10-01,90.5557
2018-11-01,94.7029
2018-12-01,95.9234
2019-01-01,95.4946
2019-02-01,94.5692
2019-03-01,90.9817
2019-04-01,90.2927
2019-05-01,91.028
2019-06-01,91.6859
2019-07-01,90.9217
2019-08-01,90.5774
2019-09-01,90.4993
2019-10-01,90.1828
2019-11-01,89.9406
2019-12-01,90.3233
2020-01-01,91.4248
2020-02-01,91.4385
2020-03-01,89.9959
2020-04-01,89.3319
2020-05-01,86.093
2020-06-01,81.618
2020-07-01,78.333
2020-08-01,78.5616
2020-09-01,78.9511
2020-10-01,77.945
2020-11-01,76.8358
2020-12-01,79.5487
2021-01-01,83.7223
2021-02-01,88.0326
2021-03-01,94.0419
2021-04-01,93.9317
2021-05-01,94.3065
2021-06-01,97.3398
2021-07-01,99.8545
2021-08-01,103.7536
2021-09-01,104.4857
2021-10-01,107.9676
2021-11-01,109.185
2021-12-01,108.0056
2022-01-01,107.2367
2022-02-01,109.0828
2022-03-01,112.1738
2022-04-01,102.0827
2022-05-01,105.4157
2022-06-01,110.0757
2022-07-01,108.924
2022-08-01,108.2652
2022-09-01,114.3484
2022-10-01,121.8131
2022-11-01,121.9247
2022-12-01,120.8422
2023-01-01,117.5214
2023-02-01,116.3254
2023-03-01,111.9442
2023-04-01,106.7884
2023-05-01,99.1312
2023-06-01,94.0387
2023-07-01,92.7819
2023-08-01,95.332
2023-09-01,99.3372
2023-10-01,103.7517
2023-11-01,107.9615
2023-12-01,104.9806
2024-01-01,101.1738
2024-02-01,98.5535
2024-03-01,101.1219
2024-04-01,101.2908
2024-05-01,101.0911
2024-06-01,98.4046
2024-07-01,98.2309
2024-08-01,98.8798
2024-09-01,97.3142
2024-10-01,94.5554
2024-11-01,93.595
2024-12-01,94.715
2025-01-01,94.513
2025-02-01,97.2347
2025-03-01,95.1304
2025-04-01,92.4782
2025-05-01,90.9816
2025-06-01,90.1198
2025-07-01,91.6265
2025-08-01,91.8933
2025-09-01,90.9086
2025-10-01,90.2534
2025-11-01,89.695
2025-12-01,89.8761
2026-01-01,89.1625
2026-02-01,88.4916
2026-03-01,114.9703
2026-04-01,131.1866
